question,answer,generated_answer,Semantic_Similarity
Who are considered founders of economic anthropology?,"Bronislaw Malinowski, Marcel Mauss, and Heinrich Schurtz are considered founders of economic anthropology.","Bronisław Malinowski, Marcel Mauss, and Heinrich Schurtz are considered founders of economic anthropology.
",0.9845163226127625
What was Malinowski's key contribution to economic anthropology?,Malinowski's study of the Kula ring in the Trobriand Islands demonstrated the social and political functions of exchange systems.,"Malinowski's key contribution was meticulously tracing the Kula ring exchange system in the Trobriand Islands, demonstrating that seemingly ""worthless trinkets"" were part of a complex, culturally embedded exchange system, challenging the notion of simple market exchange.  This work questioned the universality of market exchange and highlighted the importance of cultural context in understanding economic behavior.
",0.8239220380783081
What was Mauss's key contribution to economic anthropology?,"Mauss's concept of the ""total prestation"" highlighted the social significance of gifts and their role in maintaining relationships between groups.","Mauss's key contribution to economic anthropology was his concept of the ""total prestation"" in gift exchange.  He argued that gifts were not simply exchanges between individuals, but between representatives of larger collectivities, embodying the reputation, history, and identity of groups.  Crucially, these gifts were not simple commodities, but rather complex social acts with significant social and cultural meaning.
",0.8105157017707825
What is the difference between Malinowski's and Mauss's views on gift exchange?,"Malinowski emphasized individual exchange and non-altruistic motives, while Mauss focused on exchange between groups and the social obligations inherent in gifting.","Malinowski emphasized the exchange of goods between individuals with non-altruistic motives; they expected a return of equal or greater value.  Mauss, on the other hand, argued that gifts were ""total prestations"" between larger collectivities, embodying the identity of a group, and driven by a ""spirit of the gift"" (hau) to maintain relationships.  Mauss argued that a return gift keeps the relationship alive, while a failure to reciprocate ends it.
",0.8399730324745178
What is 'hau'?,"Hau is a Māori concept that Mauss used to describe the 'spirit of the gift,' implying the obligation to reciprocate.","The provided text does not contain the term ""hau"".
",0.5858889222145081
What did Annette Weiner add to the understanding of gift exchange?,Weiner highlighted the role of women in Trobriand exchange and developed the concept of 'keeping-while-giving' related to inalienable possessions.,"Annette Weiner added a crucial perspective on gift exchange, particularly in the context of the Trobriand Islands.  She argued that Malinowski missed the significance of women's exchanges and the matrilineal system in his research.  Further, she developed Mauss's argument about reciprocity and the ""spirit of the gift"" by contrasting ""moveable goods"" and ""immoveable goods,"" demonstrating how even seemingly exchanged goods, like Crown Jewels, maintained a connection to the giver's identity and social standing.  This highlighted that gift exchange is not just about individual reciprocity but can represent the exchange between larger collectivities, or ""total prestations.""
",0.6533011794090271
What is the concept of 'House Societies' in relation to gift exchange?,Schrauwers argued that 'total prestations' are common in 'House Societies' characterized by ranked aristocratic kin groups who use gifts to preserve their status.,"In ""House Societies,"" as described by Claude Lévi-Strauss and further analyzed by Albert Schrauwers, ""House"" refers to both a noble lineage and their landed estate.  Gift exchange in these societies serves to preserve those landed estates and maintain the kin group's ranking within the society.  The gifts given are often total prestations, meaning they are given to preserve the identified properties of particular kin groups.
",0.715539813041687
What are the three main types of reciprocity identified by Marshall Sahlins?,"Generalized, balanced, and negative reciprocity.","Gift or generalized reciprocity, Balanced or Symmetrical reciprocity, and Market or Negative reciprocity.
",0.8357475996017456
What is the difference between gifts and commodities according to Chris Gregory?,"Gifts are inalienable objects exchanged between people in reciprocal dependence, establishing a qualitative relationship. Commodities are alienable objects exchanged between independent individuals, establishing a quantitative relationship.","According to Chris Gregory, gifts are the exchange of inalienable objects between people in a state of reciprocal dependence, establishing a qualitative relationship. Commodities are the exchange of alienable objects between people in a state of reciprocal independence, establishing a quantitative relationship.
",0.931793212890625
What was Paul Bohannan's contribution to economic anthropology?,"Bohannan argued that the Tiv of Nigeria had three spheres of exchange, each with its own form of money.","Paul Bohannan argued that the Tiv people of Nigeria had three spheres of exchange, each with its own specific types of goods and forms of money.  This demonstrated a culturally diverse approach to economics, challenging the assumption that one model of exchange (like markets) applies universally.
",0.885576605796814
What is the concept of a 'dual economy'?,"A 'dual economy' refers to the coexistence of a traditional, culturally ordered exchange sphere and a market-oriented sphere in societies newly integrated into the market system.","Clifford Geertz's model of a ""dual economy"" hypothesizes different exchange spheres emerging in societies newly integrated into the market.  It posits a continuing culturally ordered ""traditional"" exchange sphere that resists the market's influence.
",0.7724054455757141
What did Jonathan Parry and Maurice Bloch argue about the 'transactional order'?,"They argued that the 'transactional order', which ensures the long-term social reproduction of the family, must be kept separate from short-term market relations.","Jonathan Parry and Maurice Bloch argued that the ""transactional order,"" through which long-term social reproduction of the family takes place, must be kept separate from short-term market relations.
",0.9147735238075256
What did Schrauwers observe about the To Pamona of Indonesia?,He documented how they developed a 'pure gift' exchange system to fund social reproductive activities as their economy became increasingly commodified.,"Schrauwers documented how the To Pamona of Central Sulawesi, Indonesia, developed an oppositional gift exchange system (posintuwu) to fund social reproduction as their everyday production and consumption activities became more commodified.  This system emerged from earlier ""total prestations.""
",0.5323477387428284
What did Schrauwers observe about the Children of Peace in Ontario?,"He documented how they developed a 'moral economy' based on charity, mutual credit, and cooperation alongside the emerging market economy.","Schrauwers observed that the Children of Peace, in Sharon, Ontario, built a temple dedicated to sacralizing the giving of charity, which evolved into a mutual credit organization, land sharing, and cooperative marketing.  These alternate exchange spheres were tightly integrated and mutualistic with markets, with commodities moving between them.
",0.4219267666339874
What is the concept of 'singularization'?,"Singularization is the process of making an object unique or special, thereby withdrawing it from the market.","Singularization is the process of making an object unique, special, or one-of-a-kind, thereby withdrawing it from the market.  Examples include a purchased ring becoming a family heirloom or a gift.  It's the opposite of the process of commodification.
",0.9120283722877502
What is the focus of 'consumption studies'?,Consumption studies focus on how goods are used and their social and cultural significance.,"The provided text discusses *economics*, not ""consumption studies.""  While the text touches on consumption patterns and data collection related to consumption, it doesn't define or explain a specific field called ""consumption studies.""
",0.7281591296195984
What is the difference between the formal and substantive meanings of 'economics' according to Karl Polanyi?,"Formal economics is the logic of rational choice, while substantive economics is the study of how humans make a living from their environment.","The formal meaning of economics, according to Polanyi, is the logic of rational action and decision-making, focusing on the rational choice between alternative uses of scarce resources.  The substantive meaning, on the other hand, doesn't require rational decision-making or scarcity.  It's the study of how humans meet their material needs from their social and natural environment, seen as an adaptation process to material conditions, possibly without utility maximization.  In short, the formal view is about rational choice and scarcity, while the substantive view is about meeting needs, regardless of rational decision-making or scarcity.
",0.7472187280654907
What is the formalist-substantivist debate?,A debate within economic anthropology about whether formal economic models can be applied to non-industrial societies.,"The formalist-substantivist debate was a disciplinary debate largely confined to the journal *Research in Economic Anthropology*.  It was a disagreement within the field of economics, particularly regarding the application of economic theory to non-industrial societies.

Formalists argued that economic principles, particularly those of rational choice and market exchange, could be universally applied.  Substantivists, on the other hand, argued that economic activity in non-industrial societies was deeply intertwined with social structures like kinship, religion, and politics, making the application of purely formal economic models inappropriate.  Polanyi was a key figure in developing the substantivist perspective.  The debate reflects broader anthropological debates about etic vs. emic explanations.
",0.6658666133880615
What is Stephen Gudeman's critique of both formalist and substantivist positions?,He argues that both impose Western economic models on other cultures and that anthropologists should focus on understanding local economic models.,"Gudeman criticizes both formalist and substantivist positions for imposing universal models of economics on pre-industrial societies.  He argues that both approaches are ethnocentric and tautological, modeling relationships as mechanistic processes by applying the logic of natural science to the human world.  He sees both as flawed because they use a Western-centric framework to understand economic concepts in other cultures.  He further criticizes substantivism for using a universal model, even if it emphasizes social institutions.
",0.6300988793373108
What is culturalism in economic anthropology?,Culturalism emphasizes the cultural construction of economic processes and the importance of understanding local meanings and metaphors.,"The provided texts don't define ""culturalism"" in the context of economic anthropology.  While they discuss the role of culture in economic behavior, they don't use that specific term.  The focus is on how economic anthropology, and more recently, cultural economics, examine the relationship between culture and economic outcomes.
",0.762611985206604
What is the focus of the substantivist school's research on markets?,They focused on the social and cultural processes that shape markets in traditional societies.,"The substantivist school focuses on the social and cultural processes that shape markets, rather than on individual economic behavior.  They study how markets are embedded in kinship, religion, and politics in traditional societies.
",0.5284719467163086
What is the 'informal economy'?,"The informal economy refers to market activities that operate outside the formal, regulated market.","The informal economy is the ""invisible work"" done by those outside the formal production process.  Examples include clothing production by domestic workers or laborers in sweatshops.  Studies of the informal sector in Western economies have increasingly adopted a political economy approach.
",0.8056389093399048
What is Granovetter's concept of 'embeddedness'?,Embeddedness refers to the idea that economic action is influenced by pre-existing social ties and relationships.,"Granovetter's concept of ""embeddedness"" states that economic relations between individuals or firms take place within existing social relations and are structured by these relations, as well as the larger social structures those relations are part of.  Further, economic exchanges are not solely rational; they are influenced by pre-existing social ties.  Individual economic agency is embedded in networks of social relations, and in some cases, the cultivation of personal relationships is more important than the economic transactions themselves.
",0.8506110906600952
What are the five functions of universal money?,"Medium of exchange, standard of value, means of payment, store of value, and unit of account.","The text states that universal money serves five functions, but those functions are not listed.
",0.30490842461586
What are special purpose monies?,"Monies used in limited exchange spheres, unlike universal money used in market economies.","Special purpose monies are used to facilitate trade, but are not the ""universal"" money of market-based economies.  They are frequently restricted in their use, limited to a specific exchange sphere, such as the brass rods used by the Tiv of Nigeria.
",0.7473892569541931
What is the relationship between universal money and special purpose monies?,The introduction of universal money often weakens the boundaries between exchange spheres and the use of special purpose monies.,"Universal money frequently weakens the boundaries between exchange spheres where special purpose monies are used.  Universal money can also devalue special purpose monies, potentially making them objects of barter rather than a means of exchange.
",0.9064200520515442
What is economic geography?,"Economic geography is the study of economic activity and the factors that influence it. It examines topics like industrial location, transportation, trade, development, and the relationship between the environment and the economy.","Economic geography is the subfield of human geography that studies economic activity and the factors affecting it.  It can also be considered a subfield or method in economics.  It examines a wide range of topics, including industrial location, agglomeration economies, transportation, international trade, development, real estate, gentrification, ethnic and gendered economies, core-periphery theory, urban form, the environment-economy relationship, and globalization.  Different approaches exist, from neoclassical location theory to more contemporary methods focusing on spatial analysis and geographic information systems.  It can be further categorized into areas like agricultural geography, which focuses on human transformation of land through primary activities, and other specialized areas.
",0.8373784422874451
What are some of the methodological approaches in economic geography?,"Methodological approaches include neoclassical location theory (quantitative focus on industrial location), Marxist political economy (critical perspective on spatial economics), and the new economic geography (considers social, cultural, and institutional factors).","Economic geography employs diverse methodological approaches.  Neoclassical location theorists, following Weber, often use quantitative methods to study industrial location.  Contemporary economic geographers use various methods, including spatial analysis (with GIS), market research, transportation geography, real estate evaluation, regional/global development studies, planning, Internet geography, innovation studies, and social network analysis.  The field also draws on approaches from anthropogeography focusing on regional systems of human economic activity.  There are also differences between economists' and economic geographers' approaches, with economic geographers taking a more holistic approach, considering space, place, and scale, in contrast to economists' tendency to homogenize the economic world.
",0.8139798045158386
"What is the difference between ""new economic geography"" and ""geographical economics""?","Both terms refer to the application of spatial thinking to economics, but ""new economic geography"" is often associated with economists like Paul Krugman, while ""geographical economics"" is sometimes used to distinguish the geographical approach.","The provided text does *not* define or contrast ""new economic geography"" with ""geographical economics.""  It mentions ""new economic geography"" as a reaction *within* economic geography, and a *competing* perspective to another unnamed approach within geography.  The text doesn't describe or define ""geographical economics"" at all.
",0.7748799920082092
What are some early examples of economic geography?,"Early forms of economic geography can be found in ancient Chinese maps and Strabo's Geographika, as well as early travel journals that described resources and trade routes.","The provided text mentions Alfred Weber, William Garrison, Brian Berry, Waldo Tobler, Peter Haggett, and William Bunge as well-known economic geographers of an *early* period.  It also describes the study of agricultural landscapes and the spatial patterns of production as a traditional aspect of economic geography, implying research on these topics predates the named individuals.
",0.5819388628005981
"According to Lindley Keasbey, why is economic geography necessary?","Keasbey argued that economics and geography are intertwined, as human economic activities are influenced by nature, and nature is subsequently modified by human activity.","According to Lindley Keasbey, economic geography is necessary because economic activities are determined by natural phenomena, which are in turn modified by economic activities.  Therefore, understanding economics requires understanding geography, and vice-versa; economics is impossible without geography, and geography is incomplete without economics.
",0.6953774690628052
How did World War II influence economic geography?,"World War II increased the demand for geographical knowledge, and post-war recovery and development further contributed to the growth of economic geography as a discipline.","World War II contributed to the popularization of geographical knowledge generally, and post-war economic recovery and development contributed to the growth of economic geography as a discipline.
",0.9456323385238647
What are some influential theories in economic geography?,"Influential theories include central place theory, core-periphery theory, and theories by Johann Heinrich von Thünen and Alfred Weber.","Influential theories in economic geography include:

* **Neoclassical location theory:**  Following Alfred Weber, this focuses on industrial location and often uses quantitative methods.
* **Marxist political economy:**  A critical perspective on spatial economics, drawing on scholars like David Harvey.
* **New economic geography:**  Considers social, cultural, and institutional factors alongside economic aspects in understanding spatial phenomena, influenced by economists like Paul Krugman and Jeffrey Sachs.
* **Core-periphery theory:**  Examines the uneven distribution of economic activity and resources between different regions.
* **Economies of agglomeration (linkages):**  Focuses on the benefits of clustering economic activity.


The answer also implicitly references other significant aspects like  location theory, spatial analysis, and the geography of transportation, as important areas within the field, and the broader study of regional and global development.
",0.56883704662323
How did Fred K. Schaefer's work impact economic geography?,Schaefer's critique of regionalism led to the increased use of quantitative methods in economic geography research.,"Fred K. Schaefer's article ""Exceptionalism in geography: A Methodological Examination"" was influential in economic geography because it became a rallying point for younger geographers seeking to make the field more scientific.  His critique of regionalism led to a greater emphasis on quantitative methods in research.
",0.8561014533042908
What are some areas of specialization for contemporary economic geographers?,"Contemporary economic geographers specialize in areas like location theory, spatial analysis, market research, transportation geography, real estate, regional development, and internet geography.","Contemporary economic geographers specialize in areas such as location theory and spatial analysis (with the help of geographic information systems), market research, geography of transportation, real estate price evaluation, regional and global development, planning, Internet geography, innovation, and social networks.
",0.9757596850395203
What are some different approaches to studying economic geography?,"Approaches include focusing on regional systems of human economic activity, spatiotemporal analysis, analysis of production/consumption, and analysis of economic flow (material, commodity, population, information).","Economic geography is approached in diverse ways, including:

* **As a branch of anthropogeography:** Focusing on regional systems of human economic activity.
* **Location theory:** Often using quantitative methods, focusing on industrial location,  following in the tradition of Alfred Weber.
* **Spatial analysis:** Employing geographic information systems (GIS) to study location, markets, transportation, and other economic phenomena.
* **Market research:** Studying the spatial aspects of markets.
* **Geography of transportation:** Analyzing the spatial impact of transportation systems on economic activity.
* **Real estate price evaluation:** Examining the spatial patterns and factors affecting real estate values.
* **Regional and global development:** Studying economic disparities across regions and globally.
* **Planning:** Applying spatial analysis to urban planning and development.
* **Internet geography:** Investigating the spatial impacts of the internet on economic activities.
* **Innovation:** Examining the spatial distribution and impact of innovation.
* **Social networks:** Analyzing the role of social networks in economic activities.
* **Study of the effects of space on the economy:** An approach taken by spatially interested economists.
* **Study of the economic processes' impact on spatial structures:** An approach taken by geographers.",0.5950502157211304
What is agricultural geography?,"Agricultural geography investigates how humans transform the Earth's surface through primary sector activities, focusing on agricultural landscapes and the processes shaping them.","Agricultural geography is a subdiscipline of economic geography that investigates areas of the Earth's surface transformed by human primary sector activities, specifically agriculture.  It focuses on the structures of agricultural landscapes and the processes creating those patterns.  While often focused on production, it can also explore human-environment interactions and the shaping of those landscapes (idiographic approach), as well as more general spatial patterns and processes (nomothetic approach).  It overlaps with other geographical sciences.
",0.8256387710571289
How do economists and geographers differ in their approach to spatial-economic problems?,"Geographers often take a more holistic approach, considering space, place, and scale, while economists may be more focused on the economic problem itself.","Economists tend to homogenize the economic world, whereas economic geographers take a more holistic approach, considering space, place, and scale in addition to the economic problem itself.  Geographers are interested in how economic processes affect spatial structures, while economists study how space affects the economy.
",0.8862248063087463
"What is the New Economy, and how has it impacted economic geography?","The New Economy, characterized by globalization and technology, has led to new spatial divisions and inequalities, such as the digital divide, which economic geographers study.","The provided text describes the ""New Economy"" as a high-tech new economy characterized by the clustering of firms due to the necessity of cooperation.  This clustering is a key factor in the evolution of economic geography.

The New Economy Geography, as described in Anglo-American literature, focuses on the firm as the primary unit of analysis and emphasizes growth over regional development.  It acknowledges transport costs, knowledge, externalities, and endogenous productivity increases but underplays the regional impact of clustering.  This contrasts with earlier neoclassical approaches focused on industrial location and quantitative methods.

The emergence of new economic geography, as a reaction to neoclassical approaches, considers social, cultural, and institutional factors alongside economic ones.  It presents a competing perspective to the geographical approach, highlighting the importance of spatial thinking in international trade theory.  The impact of a country's size, resources, income level, and comparative advantages are also relevant to this understanding.
",0.6409862637519836
What are the characteristics of the New Economic Geographies?,"They are primarily service-based, use innovative technology, rely on interpersonal relationships and trust, and exhibit clustering of firms.","New Economic Geographies acknowledge transport costs, the importance of knowledge in a new economy, possible effects of externalities, and endogenous processes that generate increases in productivity.  They also share a focus on the firm as the most important unit and on growth rather than development of regions.  A key characteristic is the clustering of related activities in a region, though the actual impact of these clusters on a region receives less attention.
",0.41335761547088623
What are the two distinct types of New Economic Geography according to Diane Perrons?,"While both acknowledge transport costs, the role of knowledge, externalities, and endogenous growth processes, they differ in their theoretical frameworks (NEG1 focuses on agglomeration economies, NEG2 on institutional factors).","Anglo-American literature's New Economy Geography consists of two distinct types, though the passage doesn't specify what those types are.  It only states that both types acknowledge transport costs, knowledge, externalities, and endogenous productivity increases, and focus on the firm and growth over regional development.
",0.5764347314834595
What is a limitation of focusing on the firm in New Economic Geography?,It can hinder discussions in national and global contexts and limit the understanding of the firm's position within the global value chain.,"Focusing on the firm in New Economic Geography limits the discussion to a smaller scale context, hindering the discussion of its impact on national and global spatial economic development.  It also restricts the analysis of the firm's activities and position within the global value chain.
",0.6775919795036316
How has geography shaped economic history?,"Geography has influenced settlement patterns, resource location, and trade routes, shaping the rise and fall of civilizations.","The provided text discusses economic geography, but doesn't directly address how geography has shaped economic history.  It describes economic geography as a field studying economic activity and its factors,  the different approaches and methodologies used, and the relationship between economists and economic geographers.  There's no explicit answer to the question of how geography *shaped* economic history within the text.
",0.6312505006790161
How have rivers impacted trade and transportation?,"Rivers have served as vital transportation channels, facilitating trade and economic development, as seen with the Nile, Yangtze, and Mississippi rivers.","Rivers and waterways have historically been critical transport channels.  The Nile River facilitated trade and farming in ancient Egypt, contributing to economic unification.  The Yangtze River had a similar impact on China.  Even today, the Mississippi River is important for transporting goods.
",0.8553791046142578
How has climate affected economic development?,"Climate influences agricultural productivity, with moderate climates often leading to higher levels of output, as exemplified by the Mediterranean region.","Countries outside the tropics, with more temperate climates, have developed significantly more than those in the tropics.  This suggests a positive correlation between temperate climates and economic prosperity.
",0.6166199445724487
How do geographical barriers continue to impact economic outcomes today?,Landlocked countries face higher transportation costs compared to countries with access to maritime trade routes.,"Geographical barriers continue to affect economic outcomes today by creating disparities in transport costs.  Countries bordering oceans benefit from maritime trade, while landlocked countries face higher transportation costs.
",0.7854413986206055
What is economic history?,"Economic history is the study of history using methodological tools from economics or with a special attention to economic phenomena. It involves researching historical situations and institutions using historical methods, statistical methods, and economic theory.","Economic history is the study of how economic phenomena evolved in the past.  It uses a combination of historical methods, statistical methods, and economic theory to analyze historical situations and institutions.  Practitioners often focus on the institutional dynamics of systems of production, labor, and capital, and the economy's impact on society, culture, and language.  Economic history emphasizes understanding the historical context of major economic events, treating the economy as a dynamic entity.
",0.9352837204933167
What topics does economic history encompass?,"Economic history covers a wide range of topics, including equality, finance, technology, labor, and business.","Economic history encompasses a wide variety of topics, including equality, finance, technology, labor, and business.  It also examines the institutional dynamics of production, labor, and capital, and the economy's impact on society, culture, and language.
",0.8804773092269897
What types of data and sources do economic historians use?,Economic historians use both quantitative data and qualitative sources to understand the historical context of major economic events.,"Economic historians use both quantitative data (like statistical data) and qualitative sources (like historical documents, accounts, and other primary sources).
",0.8957154154777527
What are some sub-disciplines of economic history?,"Sub-disciplines include financial history, business history, cliometrics, and history of capitalism.","Financial history and business history, which overlap with social history areas such as demographic and labor history.
",0.6582881808280945
What is cliometrics?,"Cliometrics, also known as the New Economic History, is the application of economic theory and econometric techniques to the study of economic history.","Cliometrics, also known as the New Economic History, is the systematic use of economic theory and econometric techniques to study economic history.  It was originally conceived by Jonathan R. T. Hughes and Stanley Reiter and draws on the Greek muse of history, Clio.  A key aspect is the application of economic theory to explain human choices within historical contexts, often using quantitative methods.  While influential, particularly in the 1960s and 70s, some argue that it's now less prominent in the field.
",0.9481450319290161
Who are some prominent figures associated with the historical school of economic history?,"Gustav von Schmoller, Max Weber, Joseph Schumpeter, William Ashley, and George Unwin.","The provided text mentions Charles P. (presumably a last name, but the full name is not given), but doesn't provide a list of prominent figures associated with the historical school of economic history.  More context or a different source would be needed to name specific individuals.
",0.3447065055370331
What was the historical school's main argument?,It argued against universal truths in history and emphasized the importance of historical context without quantitative analysis.,"The historical school argued that there were no universal truths in history, emphasizing the importance of historical context without quantitative analysis.
",0.858201265335083
What were the differing views of LSE and Cambridge economists on economic history?,"Cambridge economists believed economic history was integral to economics, while LSE economists believed it should be a separate discipline.","Cambridge economists believed that pure economics inherently included a component of economic history, and the two were intertwined.  LSE economists believed economic history deserved its own courses, research agenda, and separate academic chair, distinct from mainstream economics.
",0.8877151012420654
What is the relationship between economic history and development economics?,"Development economics is closely connected to economic history as it explores the growth of economies with different technologies, innovations, and institutions.","The provided text doesn't explicitly discuss the relationship between economic history and development economics.  While it mentions interest in ""the history of economic growth and development,"" it doesn't elaborate on how economic history informs or is informed by development economics.
",0.7869723439216614
What has been the trend in economic history since the 2007-2008 financial crisis?,"Scholars have moved away from narrowly quantitative studies toward institutional, social, and cultural history affecting the evolution of economies, often focusing on ""persistence"".","Since the 2007-2008 financial crisis, several macroeconomic trends have emerged.  These include a significant shift in the U.S. private sector away from borrowing towards saving, observed in flow of funds data.  This has been accompanied by balance sheet recessions in several countries, including Japan and Germany, as private sectors have curtailed borrowing and banks have become hesitant to lend.  Despite low interest rates and liquidity injections, industrial economies have continued to struggle.  There have also been trends toward lower investment rates, lower productivity growth, and a decrease in the worker-to-beneficiary ratio.  While some market reactions to economic news might seem irrational, they often reflect anticipated events, and can reverse if news is better (or worse) than expected.  Additionally, the crisis led to a sharp and widespread decline in financial markets, including the stock, housing, and lending markets, along with global trade.  A subsequent stock market crash in 2020 was linked to the COVID-19 pandemic.
",0.32582858204841614
What is Thomas Piketty's contribution to economic history?,"His book ""Capital in the Twenty-First Century"" analyzed the rise of wealth and income inequality, sparking new discussions in economic history and public policy.","Thomas Piketty's *Capital in the Twenty-First Century* is a major contribution to economic history, arguing that large concentrations of wealth lead to social and economic instability, and advocating for global progressive wealth taxes to correct rising inequality.  His work has significantly changed the global discussion on how economic historians study inequality, and sparked new conversations in public policy.  It also exemplifies a recent trend in economic history toward considering institutional, social, and cultural factors in addition to quantitative data, focusing on how past events affect current outcomes.
",0.7449439764022827
How did Karl Marx influence economic history?,"Marx used historical analysis to interpret the role of class and class struggle, critiquing neoclassical economists and influencing studies on the transition from feudalism to capitalism.","Karl Marx's influence on economic history is multifaceted.  He used historical analysis to interpret the role of class as a central issue in history, critiqued the findings of neoclassical economists, and debated with classical economists.  His legacy is a critical approach to economic studies, focusing on the institutional dynamics of systems of production, labor, and capital, as well as the economy's impact on society, culture, and language.  Marxist analysis also confronts economic determinism and examines topics like the analysis of crisis in capitalism, surplus product/value, economic value, and class struggle. This has led to a parallel development in economic history distinct from mainstream thought, influencing how scholars approach inequality, class, and economic systems.
",0.8500866889953613
What is the 'history of capitalism'?,"A relatively new field focusing on topics like insurance, banking, regulation, and the impact of capitalism on various social groups, particularly the contribution of slavery to the US economy.","The ""history of capitalism"" is a field of study that emerged in US history departments since about 2000.  It encompasses topics traditionally associated with economic history, such as insurance, banking, regulation, the political aspects of business, and the impact of capitalism on various social groups (middle classes, poor, women, minorities).  Crucially, it emphasizes the institutional dynamics of production, labor, and capital, and the interplay between the economy and society, culture, and language.  Scholars in this field often draw on diverse economic thought schools (mainstream, Austrian, Marxian, Chicago, Keynesian).  It differs from earlier economic history by including a broader range of topics and perspectives.
",0.6859665513038635
What is the main criticism of the 'history of capitalism' field?,"Critics argue it lacks focus on systems of production, circulation, and distribution, and that it lacks social scientific methods and has ideological biases.","The main criticisms of the ""history of capitalism"" field are that it doesn't focus enough on systems of production, circulation, and distribution, and that it lacks sufficient social scientific methods and may be ideologically biased.  Additionally, some criticize it for neglecting environmental factors.
",0.5032786130905151
What is the Economic History Review?,"The first journal specializing in economic history, founded in 1927 as the main publication of the Economic History Society.","The Economic History Review is the first journal specializing in economic history, founded in 1927.  It serves as the main publication of the Economic History Society.
",0.8269029259681702
What is the Journal of Economic History?,A journal established by the Economic History Association in 1941 to expand the discipline in the United States.,"The Journal of Economic History is an academic journal, established in 1941 by the Economic History Association, that aims to bring together historians and social scientists interested in the material and intellectual aspects of modern economic life.  It's a way to expand the discipline of economic history in the United States.
",0.7866230010986328
What are some other journals related to economic history?,"Business History Review, European Review of Economic History, Enterprise and Society, and Financial History Review.","The Business History Review, European Review of Economic History, Enterprise and Society, and Financial History Review.
",0.9972751140594482
What is the International Economic History Association?,An association of close to 50 member organizations dedicated to the study of economic history.,"The International Economic History Association is an association of close to 50 member organizations that recognizes major academic organizations dedicated to the study of economic history.
",0.8809796571731567
"According to Arnold Toynbee, what are the advantages of combining economics and history?","It improves economic understanding, makes history easier to understand, and teaches careful deductive reasoning.","According to Arnold Toynbee, combining economics and history improves economic understanding by providing a new perspective on abstract economic propositions when studied in relation to historical facts.  It also focuses on the history of actual human practice regarding the material basis of life, encompassing the production, distribution, and consumption of wealth.
",0.4591769278049469
What did Douglass North argue about the task of economic history?,He argued that it is the task of economic history to elucidate the historical dimensions of economies through time.,"Douglass North argued that the task of economic history is to elucidate the historical dimensions of economies through time.
",0.8274927139282227
"Who coined the term ""economic sociology""?",William Stanley Jevons in 1879.,"William Stanley Jevons
",0.8175066113471985
Which classical sociologists further developed the concept of economic sociology after Jevons?,"Émile Durkheim, Max Weber, and Georg Simmel.","Émile Durkheim, Max Weber, and Georg Simmel.
",0.9999998211860657
What is the focus of Weber's work in economic sociology?,"The relationship between economics and religion, and the cultural ""disenchantment"" of the modern West.","Weber's work in economic sociology focuses on the relationship between economics and religion, and the cultural ""disenchantment"" of the modern West.  Specifically, his work, like *The Protestant Ethic and the Spirit of Capitalism*, examines the relationship between capitalism and modernity.
",0.7364717125892639
What are some key areas of inquiry in contemporary economic sociology?,"The social consequences of economic exchanges, the social meanings they involve, and the social interactions they facilitate or obstruct.","Contemporary economic sociology includes studies of the social consequences of economic exchanges, the social meanings involved in those exchanges, and the social interactions that economic exchanges facilitate or obstruct.
",0.813018262386322
What early works are considered foundational to economic sociology?,"Tocqueville's Democracy in America and The Old Regime and the Revolution, and Marx's works on historical materialism.","Tocqueville's *Democracy in America* (1835–40) and *The Old Regime and the Revolution* (1856), Marx's historical materialism, Durkheim's *The Division of Labour in Society* (1905), Weber's *Economy and Society* (1922), Weber's *The Protestant Ethic and the Spirit of Capitalism* (1905), and Simmel's *The Philosophy of Money* (1900).
",0.8428102135658264
"What is the concept of ""embeddedness"" in economic sociology?","The idea that the economy is embedded in social institutions, which are vital to prevent the market from destroying other aspects of human life.","The concept of ""embeddedness"" in economic sociology argues that economic relations between individuals or firms occur within and are shaped by existing social relations and the larger social structures those relations are part of.  Essentially, economic activity is not separate from, but rather deeply intertwined with, social institutions and norms.  Karl Polanyi first proposed the idea, arguing that the economy is ""embedded"" in social institutions to prevent the market from undermining other aspects of human life.  Later, Mark Granovetter developed this further, critiquing both overly individualistic (atomistic) and overly socialized (rigidly conforming) views of economic actors.  His neo-substantivist approach emphasized the interplay of rational choice and social context in shaping economic behavior.
",0.6427931189537048
"Who introduced the concept of ""embeddedness""?",Karl Polanyi in his book The Great Transformation.,"Karl Polanyi.
",0.6829277873039246
"What is considered a key work in consolidating the ""new economic sociology""?","Mark Granovetter's 1985 work ""Economic Action and Social Structure: The Problem of Embeddedness"".","There isn't one single key work cited as consolidating ""new economic sociology.""  The text highlights numerous influential figures and their works, but not one specific book or paper.  The ""new economic sociology"" is a developing field with contributions from many scholars.
",0.4543148875236511
